     1        2           3
    44       36           2
    44       42           1
    44       61           3
    44       62           0
    44       71           3
    44       81           4
    44       97           0
    44       99           0
    45        3           0
    45       12           2
    45       16           2
    45       50           3
    45       56           0
    45       76           1
    46       17           3
    46       21           1
    46       24           4
    46       54           3
    46       75           0
    46       77           2
    47        2           2
    47       13           3
    47       29           2
    47       32           0
    47       33           0
    47       46           2
    47       52           2
    47       59           0
    47       83           4
    47       93           4
    47       97           3
    48        5           3
    48       22           1
    48       31           4
    48       65           2
    48       67           4
    48       72           0
    48       84           0
    48       89           2
    48       98           4
    49        3           0
    49        4           4
    49       19           1
    49       34           0
    49       50           1
    49       51           3
    49       58           3
    49       64           0
    50       15           4
    50       20           3
    50       31           3
    50       57           0
    50       62           1
    50       70           0
    50       75           4
    50       88           1
    50       92           2
    50       93           4
